booking_id,customer_name,no_of_ppl,no_of_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,date,total_price
HWA02442,Cynthia Taylor,1,2,1,0,Single Room,10/16/2023,160
HWA02443,Mark Thomas,1,4,0,0,Single Room,11/16/2024,200
HWA02444,Ruth Williams,1,3,1,0,Single Room,10/13/2024,240
HWA02445,James Davis,1,2,1,0,Single Room,11/21/2024,160
HWA02446,Jennifer Smith,1,1,0,0,Single Room,11/26/2024,50
HWA02447,Ronald Miller,1,2,1,0,Single Room,1/26/2024,160
HWA02448,Emily Thompson,1,3,1,0,Single Room,6/20/2024,240
HWA02449,Joseph Jackson,1,2,1,0,Single Room,12/4/2023,160
HWA02450,Laura Rodriguez,1,4,1,0,Single Room,3/18/2024,320
HWA02451,Donna Allen,1,1,1,0,Single Room,9/19/2024,80
HWA02452,Joan Garcia,1,3,0,0,Single Room,3/9/2024,150
HWA02453,Steven Adams,1,3,1,0,Single Room,12/19/2024,240
HWA02454,David Miller,1,2,1,1,Single Room,2/12/2024,160
HWA02455,Joshua Garcia,1,4,0,0,Single Room,12/26/2024,200
HWA02456,Sharon Johnson,1,3,1,0,Single Room,3/23/2024,240
HWA02457,Kenneth Hall,1,4,1,1,Single Room,8/11/2023,320
HWA02458,Daniel Davis,1,1,1,0,Single Room,7/18/2023,80
HWA02459,Patricia Thomas,3,5,1,0,Family Room,8/30/2024,1150
HWA02460,Kimberly Davis,1,1,1,0,Single Room,2/21/2024,80
HWA02461,Dennis Garcia,1,2,1,0,Single Room,10/14/2024,160
HWA02462,Jessica King,1,3,1,0,Single Room,11/6/2024,240
HWA02463,Ryan Harris,2,3,1,0,Deluxe Room,7/17/2024,540
HWA02464,Emily Lee,1,1,1,0,Single Room,6/20/2024,80
HWA02465,Emily Walker,1,2,1,0,Single Room,10/16/2023,160
HWA02466,Susan Johnson,1,1,0,0,Single Room,12/15/2024,50
HWA02467,Edward Hall,1,1,1,1,Single Room,8/20/2024,80
HWA02468,Steven Jones,1,2,1,0,Single Room,3/25/2024,160
HWA02469,Michelle Clark,1,1,1,0,Single Room,10/10/2023,80
HWA02470,Daniel Smith,1,2,1,0,Single Room,7/1/2023,160
HWA02471,John Martinez,1,1,1,0,Single Room,7/20/2024,80
HWA02472,Nancy Davis,1,2,1,0,Single Room,9/24/2023,160
HWA02473,Andrew Martinez,1,3,1,0,Single Room,8/9/2024,240
HWA02474,Steven Moore,1,3,1,0,Single Room,11/12/2023,240
HWA02475,Linda Jones,1,3,1,0,Single Room,8/8/2024,240
HWA02476,Joan Allen,1,5,1,0,Deluxe Room,11/21/2024,900
HWA02477,Samuel Moore,2,2,1,0,Deluxe Room,11/18/2024,360
HWA02478,Sharon Hill,1,2,1,0,Single Room,5/23/2024,160
HWA02479,Sandra Lewis,1,2,1,0,Single Room,7/19/2024,160
HWA02480,Donna Miller,1,2,1,0,Single Room,8/19/2024,160
HWA02481,Anthony Wright,1,2,1,0,Single Room,11/12/2024,160
HWA02482,Lisa Davis,1,2,1,0,Single Room,9/26/2024,160
HWA02483,Cynthia Harris,1,1,0,0,Single Room,3/20/2024,50
HWA02484,Scott Lopez,1,1,0,0,Single Room,10/1/2024,50
HWA02485,Deborah Miller,1,2,0,0,Single Room,8/7/2024,100
HWA02486,Joan Garcia,3,3,1,0,Deluxe Room,12/1/2024,540
HWA02487,Dennis Torres,1,1,1,0,Single Room,9/10/2024,80
HWA02488,Lisa Wilson,1,2,1,0,Single Room,8/5/2024,160
HWA02489,Dennis Jackson,1,2,1,0,Single Room,7/1/2024,160
HWA02490,Nancy Garcia,1,4,0,0,Single Room,11/16/2024,200
HWA02491,Susan Perez,1,1,0,0,Single Room,10/29/2024,50
HWA02492,Ashley Adams,1,4,1,0,Single Room,10/26/2024,320
HWA02493,Jeffrey Wright,1,1,1,0,Single Room,5/18/2024,80
HWA02494,Patricia King,1,2,1,0,Single Room,12/31/2024,160
HWA02495,John Allen,3,1,1,0,Deluxe Room,3/9/2024,180
HWA02496,Susan Miller,1,3,1,0,Single Room,11/3/2024,240
HWA02497,Ashley Robinson,1,3,1,0,Single Room,8/18/2024,240
HWA02498,Kimberly Rodriguez,1,1,1,0,Single Room,6/19/2024,80
HWA02499,Karen Jackson,1,1,0,0,Deluxe Room,9/16/2024,150
HWA02500,Brian Rodriguez,1,4,1,0,Single Room,12/21/2024,320
HWA02501,Andrew Wright,1,1,1,0,Single Room,8/27/2024,80
HWA02502,Aaron Adams,1,1,0,0,Single Room,5/9/2024,50
HWA02503,Joan Perez,1,1,1,0,Deluxe Room,9/21/2023,180
HWA02504,Jerry Lee,3,2,1,0,Deluxe Room,6/10/2024,360
HWA02505,Donald Garcia,1,1,1,0,Single Room,9/19/2024,80
HWA02506,Ashley Harris,1,1,0,0,Single Room,8/21/2024,50
HWA02507,Sarah Young,1,3,1,0,Deluxe Room,10/29/2024,540
HWA02508,Ashley White,2,1,1,0,Deluxe Room,10/28/2024,180
HWA02509,Judith Scott,1,3,0,0,Single Room,2/25/2024,150
HWA02510,Karen Green,1,2,1,0,Single Room,6/24/2024,160
HWA02511,Edward Scott,1,1,1,0,Single Room,3/6/2024,80
HWA02512,Christopher Miller,1,1,1,0,Single Room,6/17/2024,80
HWA02513,Cynthia Garcia,1,2,1,0,Single Room,5/13/2024,160
HWA02514,Shirley Lee,1,2,1,0,Single Room,9/24/2023,160
HWA02515,Andrew Allen,1,4,1,0,Double Room,1/28/2024,520
HWA02516,George Thompson,1,2,1,0,Single Room,9/30/2024,160
HWA02517,Samuel Moore,1,4,0,0,Single Room,4/27/2024,200
HWA02518,Jerry Rodriguez,1,2,1,0,Single Room,7/11/2024,160
HWA02519,Nancy Martin,1,5,1,0,Single Room,8/23/2024,400
HWA02520,Donald Miller,1,5,0,0,Single Room,12/17/2024,250
HWA02521,Mark Thompson,1,2,0,0,Single Room,6/13/2024,100
HWA02522,Sarah Moore,1,1,1,0,Single Room,10/23/2024,80
HWA02523,Andrew Young,1,2,1,0,Single Room,7/19/2024,160
HWA02524,Ryan Taylor,1,3,1,0,Single Room,12/8/2024,240
HWA02525,Sharon Garcia,1,2,1,0,Single Room,6/17/2024,160
HWA02526,Edward Jackson,1,4,1,0,Deluxe Room,5/18/2024,720
HWA02527,Raymond Adams,1,1,1,0,Single Room,7/11/2023,80
HWA02528,Frank Thomas,1,2,1,0,Single Room,1/25/2024,160
HWA02529,Donald Davis,1,5,1,0,Single Room,1/25/2024,400
HWA02530,Joshua Brown,1,1,1,0,Single Room,9/21/2023,80
HWA02531,Robert Robinson,1,1,0,0,Single Room,6/22/2024,50
HWA02532,Frank Jones,1,2,1,0,Single Room,12/27/2024,160
HWA02533,Steven Moore,1,2,0,0,Single Room,3/25/2024,100
HWA02534,Gregory Martin,1,3,1,0,Single Room,4/18/2024,240
HWA02535,Dorothy Thomas,3,1,1,0,Deluxe Room,9/19/2024,180
HWA02536,Ruth Smith,1,3,0,0,Single Room,6/21/2024,150
HWA02537,Daniel Flores,1,1,1,0,Single Room,10/22/2024,80
HWA02538,Emma Smith,5,2,1,0,Family Room,10/21/2024,460
HWA02539,Jason King,1,4,1,0,Single Room,10/18/2024,320
HWA02540,Dorothy Rodriguez,1,1,1,0,Single Room,5/23/2024,80
HWA02541,Samuel Brown,1,3,0,0,Single Room,7/14/2024,150
HWA02542,Henry Perez,2,3,1,0,Deluxe Room,5/17/2024,540
HWA02543,Brian King,1,1,0,0,Single Room,5/24/2024,50
HWA02544,Nancy Harris,1,1,1,0,Single Room,9/7/2023,80
HWA02545,Ryan Allen,1,1,1,0,Single Room,4/23/2024,80
HWA02546,Amanda Harris,1,1,1,0,Single Room,7/26/2024,80
HWA02547,Thomas Thomas,1,2,1,0,Single Room,9/10/2024,160
HWA02548,Melissa Clark,1,1,1,0,Single Room,7/23/2024,80
HWA02549,Daniel Rodriguez,2,2,1,0,Deluxe Room,8/3/2024,360
HWA02550,Emma Harris,1,2,1,0,Single Room,8/26/2024,160
HWA02551,Kathleen Wilson,1,1,1,0,Single Room,10/4/2024,80
HWA02552,Andrew Torres,1,2,1,0,Single Room,3/25/2024,160
HWA02553,Amanda Taylor,1,2,1,0,Single Room,10/16/2023,160
HWA02554,Samuel Clark,1,3,1,0,Single Room,4/12/2024,240
HWA02555,Cynthia Thomas,1,5,1,0,Single Room,3/1/2024,400
HWA02556,Kimberly Davis,1,1,1,0,Single Room,7/18/2023,80
HWA02557,Mark Lopez,1,1,1,0,Single Room,5/21/2024,80
HWA02558,Ryan Moore,1,2,1,0,Single Room,9/11/2023,160
HWA02559,Ryan Moore,1,5,0,0,Single Room,7/25/2024,250
HWA02560,Timothy Flores,1,3,1,0,Single Room,6/14/2024,240
HWA02561,Elizabeth Martinez,1,1,1,0,Deluxe Room,6/3/2024,180
HWA02562,Charles Clark,1,1,0,0,Single Room,7/29/2024,50
HWA02563,Susan Lopez,1,2,0,0,Single Room,5/13/2024,100
HWA02564,Matthew Wright,1,4,0,0,Single Room,1/26/2024,200
HWA02565,Frank Scott,1,4,1,0,Single Room,8/14/2024,320
HWA02566,Matthew Robinson,1,2,1,0,Single Room,8/19/2023,160
HWA02567,Nancy Davis,1,3,1,0,Family Room,2/11/2024,690
HWA02568,Helen White,1,1,0,0,Single Room,5/2/2024,50
HWA02569,Anthony Smith,1,1,1,0,Single Room,10/5/2023,80
HWA02570,Henry White,2,3,1,1,Double Room,2/9/2024,390
HWA02571,Ryan Taylor,1,2,1,0,Single Room,9/4/2023,160
HWA02572,David Johnson,2,1,1,0,Double Room,11/19/2024,130
HWA02573,Dennis Martin,1,1,1,0,Single Room,10/30/2024,80
HWA02574,Jessica Green,3,2,1,0,Deluxe Room,5/17/2024,360
HWA02575,Brian Young,1,1,1,0,Single Room,11/8/2023,80
HWA02576,Joseph Johnson,1,2,0,0,Single Room,3/4/2024,100
HWA02577,Joseph Green,1,2,1,0,Single Room,9/18/2023,160
HWA02578,Deborah Jackson,1,1,1,0,Single Room,10/16/2024,80
HWA02579,Henry Thomas,1,2,1,0,Single Room,9/14/2023,160
HWA02580,Deborah Anderson,1,3,1,0,Deluxe Room,12/29/2024,540
HWA02581,Daniel Hall,1,2,1,0,Single Room,10/30/2024,160
HWA02582,Helen Lewis,1,7,1,0,Single Room,7/15/2024,560
HWA02583,Joseph Brown,2,3,1,1,Double Room,9/8/2024,390
HWA02584,Paul Taylor,1,4,1,0,Deluxe Room,11/11/2023,720
HWA02585,Jennifer King,1,2,1,0,Deluxe Room,3/4/2024,360
HWA02586,Charles Hernandez,3,3,1,0,Family Room,9/1/2024,690
HWA02587,Christopher Garcia,1,2,1,1,Deluxe Room,10/18/2024,360
HWA02588,Gregory Miller,1,2,1,0,Single Room,2/6/2024,160
HWA02589,Jessica Adams,1,4,1,0,Single Room,6/9/2024,320
HWA02590,Carol Robinson,1,3,1,0,Single Room,3/6/2024,240
HWA02591,Thomas Jackson,1,1,1,0,Single Room,10/6/2023,80
HWA02592,Kimberly Moore,1,4,1,0,Single Room,4/27/2024,320
HWA02593,Paul Martin,3,5,1,0,Deluxe Room,4/12/2024,900
HWA02594,Melissa Anderson,2,2,1,0,Double Room,3/25/2024,260
HWA02595,Deborah Walker,1,1,0,0,Single Room,2/13/2024,50
HWA02596,David Wright,1,1,1,0,Single Room,5/27/2024,80
HWA02597,Joan Torres,1,4,1,0,Deluxe Room,8/19/2024,720
HWA02598,Helen Harris,2,2,1,0,Deluxe Room,10/30/2023,360
HWA02599,Jason Wright,1,3,1,0,Single Room,8/14/2023,240
HWA02600,Helen Lewis,1,3,1,0,Single Room,6/28/2024,240
HWA02601,Emily Thomas,1,2,1,0,Single Room,6/24/2024,160
HWA02602,Laura Taylor,1,4,1,0,Single Room,3/30/2024,320
HWA02603,Timothy Garcia,1,2,1,0,Single Room,9/13/2023,160
HWA02604,Emma Thomas,1,2,1,0,Single Room,11/20/2023,160
HWA02605,Joshua Hill,2,2,1,0,Deluxe Room,8/19/2024,360
HWA02606,Judith Hall,1,1,1,0,Single Room,10/12/2023,80
HWA02607,Judith Allen,2,3,1,0,Deluxe Room,8/4/2024,540
HWA02608,William Rodriguez,1,2,1,0,Single Room,3/23/2024,160
HWA02609,Dennis Harris,1,1,1,0,Single Room,8/1/2023,80
HWA02610,Margaret Thompson,1,2,1,0,Single Room,8/26/2024,160
HWA02611,Raymond Thomas,1,3,1,0,Single Room,10/30/2024,240
HWA02612,Dennis Martin,1,3,1,0,Single Room,1/14/2024,240
HWA02613,Dennis Martin,1,1,0,0,Single Room,9/3/2024,50
HWA02614,Joshua Hill,1,3,1,0,Single Room,11/17/2023,240
HWA02615,Steven Adams,1,5,1,0,Single Room,10/7/2024,400
HWA02616,Judith Brown,1,2,1,0,Single Room,4/22/2024,160
HWA02617,Peter Martinez,1,2,1,0,Single Room,5/9/2024,160
HWA02618,Shirley Johnson,1,2,1,0,Single Room,3/25/2024,160
HWA02619,Christopher Taylor,1,1,0,0,Single Room,9/15/2024,50
HWA02620,Mark Thomas,1,1,1,0,Single Room,5/18/2024,80
HWA02621,Frank Wright,2,1,1,0,Deluxe Room,9/25/2024,180
HWA02622,Rebecca Smith,3,4,1,0,Deluxe Room,8/6/2024,720
HWA02623,Peter King,1,3,1,0,Single Room,4/4/2024,240
HWA02624,Emma Martinez,1,2,1,0,Single Room,3/11/2024,160
HWA02625,Emily Garcia,1,3,1,0,Single Room,12/29/2024,240
HWA02626,Donna Young,1,2,1,0,Single Room,7/24/2024,160
HWA02627,Ryan Clark,1,4,1,0,Single Room,5/18/2024,320
HWA02628,Anthony Harris,1,2,1,0,Single Room,9/4/2023,160
HWA02629,Margaret Clark,1,1,1,0,Single Room,3/13/2024,80
HWA02630,Amanda Wright,1,1,1,0,Single Room,7/30/2024,80
HWA02631,Deborah Flores,2,3,1,0,Deluxe Room,4/21/2024,540
HWA02632,Rebecca Jones,1,2,1,0,Single Room,11/14/2024,160
HWA02633,Raymond Martin,1,2,1,0,Single Room,4/22/2024,160
HWA02634,Robert King,3,3,1,0,Deluxe Room,10/16/2023,540
HWA02635,Matthew Lopez,1,1,0,0,Single Room,8/7/2024,50
HWA02636,Jessica Rodriguez,1,13,0,0,Single Room,3/10/2024,650
HWA02637,Betty Davis,1,2,1,0,Single Room,9/16/2024,160
HWA02638,Samuel Jones,1,3,1,0,Single Room,11/22/2024,240
HWA02639,William Torres,1,3,1,0,Single Room,10/8/2023,240
HWA02640,Mary Young,1,3,1,0,Single Room,9/14/2024,240
HWA02641,Michael Jones,1,1,0,0,Single Room,4/18/2024,50
HWA02642,Helen White,1,1,1,0,Single Room,9/12/2024,80
HWA02643,Dorothy Brown,1,2,0,0,Single Room,8/19/2024,100
HWA02644,Karen Perez,1,4,1,0,Single Room,2/14/2024,320
HWA02645,Thomas Harris,1,2,1,0,Single Room,11/27/2023,160
HWA02646,Margaret Lee,1,1,1,0,Single Room,7/16/2023,80
HWA02647,John Hill,2,2,1,0,Presidential Room,10/13/2024,560
HWA02648,Kimberly Adams,1,2,1,0,Single Room,8/14/2023,160
HWA02649,Mark Torres,3,2,1,0,Family Room,5/27/2024,460
HWA02650,Daniel Lewis,3,3,1,0,Deluxe Room,5/22/2024,540
HWA02651,Joan Allen,1,3,1,0,Single Room,8/25/2024,240
HWA02652,Michelle Taylor,3,4,1,0,Deluxe Room,12/30/2023,720
HWA02653,Patricia Johnson,3,1,1,0,Deluxe Room,1/4/2024,180
HWA02654,Amanda Jones,1,4,1,0,Single Room,5/10/2024,320
HWA02655,Cynthia Harris,2,2,1,0,Deluxe Room,11/8/2023,360
HWA02656,Sarah Lee,1,1,1,0,Deluxe Room,5/21/2024,180
HWA02657,Charles Thomas,1,3,1,0,Single Room,9/17/2023,240
HWA02658,Daniel Walker,1,1,1,0,Deluxe Room,6/18/2024,180
HWA02659,Michael Scott,1,1,1,0,Single Room,6/6/2024,80
HWA02660,Dorothy Lee,1,1,0,0,Single Room,3/17/2024,50
HWA02661,Gregory Torres,1,3,1,0,Single Room,2/17/2024,240
HWA02662,Robert Walker,1,1,1,0,Single Room,11/30/2024,80
HWA02663,Robert Perez,1,2,1,0,Single Room,9/30/2023,160
HWA02664,Paul Smith,1,3,1,0,Single Room,5/4/2024,240
HWA02665,Michelle King,1,1,1,0,Single Room,4/17/2024,80
HWA02666,Ashley Lopez,2,1,1,0,Deluxe Room,7/17/2024,180
HWA02667,George Young,1,4,1,0,Single Room,9/22/2023,320
HWA02668,Jessica Johnson,1,3,1,0,Single Room,8/25/2024,240
HWA02669,Frank Hernandez,1,1,1,0,Single Room,4/23/2024,80
HWA02670,Matthew Hall,1,3,1,0,Single Room,11/16/2024,240
HWA02671,Kimberly White,1,1,1,0,Single Room,9/7/2024,80
HWA02672,Shirley Garcia,1,1,0,0,Single Room,10/9/2024,50
HWA02673,Kenneth King,1,2,1,0,Single Room,6/2/2024,160
HWA02674,Melissa Miller,1,1,0,0,Single Room,10/10/2024,50
HWA02675,John Brown,1,2,1,0,Single Room,3/27/2024,160
HWA02676,Raymond Hill,1,1,1,0,Family Room,10/29/2024,230
HWA02677,Joseph Hill,1,4,1,1,Single Room,9/30/2023,320
HWA02678,Donna Harris,2,1,1,0,Deluxe Room,7/23/2024,180
HWA02679,Kevin Jones,1,1,1,0,Single Room,2/21/2024,80
HWA02680,Margaret Wright,1,1,1,0,Single Room,6/8/2024,80
HWA02681,Gregory White,1,4,1,0,Single Room,9/2/2023,320
HWA02682,Kenneth Lopez,2,3,1,0,Deluxe Room,11/11/2023,540
HWA02683,Michael Perez,3,1,1,0,Deluxe Room,7/27/2024,180
HWA02684,Aaron Garcia,3,4,1,0,Deluxe Room,10/19/2024,720
HWA02685,Henry Wright,1,2,1,0,Single Room,11/14/2024,160
HWA02686,Thomas Allen,1,2,1,0,Single Room,12/19/2024,160
HWA02687,James King,1,1,0,0,Single Room,4/3/2024,50
HWA02688,Timothy Young,1,3,0,0,Single Room,3/7/2024,150
HWA02689,Brian White,1,1,1,0,Single Room,4/16/2024,80
HWA02690,Kimberly Jackson,1,1,1,0,Single Room,8/8/2023,80
HWA02691,Betty Clark,1,2,1,0,Deluxe Room,5/26/2024,360
HWA02692,Elizabeth Wilson,1,3,1,0,Single Room,4/4/2024,240
HWA02693,Anthony King,1,2,1,0,Single Room,4/29/2024,160
HWA02694,Donald Martin,1,2,1,0,Single Room,4/15/2024,160
HWA02695,Betty White,1,2,1,0,Single Room,9/16/2024,160
HWA02696,Frank Thomas,1,1,1,0,Single Room,1/2/2024,80
HWA02697,Mark Moore,1,2,1,0,Single Room,3/25/2024,160
HWA02698,Margaret Allen,1,1,1,0,Single Room,3/17/2024,80
HWA02699,Christopher Rodriguez,1,3,1,0,Single Room,2/4/2024,240
HWA02700,Donna Young,1,2,1,0,Single Room,6/3/2024,160
HWA02701,Rebecca Hernandez,1,4,0,0,Single Room,10/5/2024,200
HWA02702,Dennis Hall,1,3,1,0,Single Room,9/15/2024,240
HWA02703,James Harris,3,1,1,1,Deluxe Room,8/19/2024,180
HWA02704,Ashley Clark,1,1,1,0,Single Room,9/21/2023,80
HWA02705,Jennifer Young,1,4,1,0,Single Room,11/2/2024,320
HWA02706,Robert Lewis,1,2,1,0,Single Room,6/24/2024,160
HWA02707,Donald Walker,1,3,1,0,Single Room,12/29/2023,240
HWA02708,Kenneth Torres,1,3,1,0,Single Room,5/19/2024,240
HWA02709,Kevin White,1,1,1,0,Single Room,10/19/2023,80
HWA02710,Shirley Walker,1,2,1,0,Single Room,9/13/2024,160
HWA02711,Gregory Jones,1,2,1,0,Single Room,9/3/2024,160
HWA02712,Jessica Allen,2,2,1,0,Family Room,11/25/2024,460
HWA02713,Ruth Lee,3,1,1,0,Deluxe Room,4/23/2024,180
HWA02714,Cynthia Davis,4,5,1,0,Family Room,7/11/2024,1150
HWA02715,Dennis Johnson,1,2,1,0,Single Room,8/4/2023,160
HWA02716,Deborah Scott,3,5,1,0,Deluxe Room,12/26/2024,900
HWA02717,Carol Adams,1,2,1,0,Single Room,11/13/2023,160
HWA02718,Andrew Hall,2,4,1,0,Deluxe Room,5/25/2024,720
HWA02719,Timothy Green,1,1,1,0,Single Room,4/25/2024,80
HWA02720,Mary Young,2,3,1,0,Deluxe Room,5/15/2024,540
HWA02721,Michael White,3,2,1,0,Presidential Room,5/6/2024,560
HWA02722,William Hall,2,2,1,0,Deluxe Room,12/17/2023,360
HWA02723,George Garcia,1,1,0,0,Single Room,9/25/2024,50
HWA02724,Dorothy Wright,1,3,1,0,Single Room,4/11/2024,240
HWA02725,John Hernandez,5,1,1,0,Family Room,2/6/2024,230
HWA02726,Melissa Wilson,1,2,1,0,Single Room,1/19/2024,160
HWA02727,Helen Wright,2,4,1,0,Deluxe Room,8/24/2024,720
HWA02728,Deborah Clark,1,2,1,0,Single Room,10/7/2024,160
HWA02729,John King,1,2,1,1,Single Room,1/22/2024,160
HWA02730,Mark King,3,2,1,0,Deluxe Room,8/22/2024,360
HWA02731,Frank Green,1,2,1,0,Single Room,3/25/2024,160
HWA02732,Charles Adams,1,2,1,0,Single Room,10/11/2023,160
HWA02733,Timothy Adams,1,1,1,0,Single Room,8/11/2024,80
HWA02734,Charles Jackson,1,3,1,0,Deluxe Room,6/9/2024,540
HWA02735,Nancy Lewis,2,3,1,0,Deluxe Room,4/7/2024,540
HWA02736,Paul Hill,1,3,0,0,Single Room,4/18/2024,150
HWA02737,Deborah Adams,1,3,1,0,Single Room,8/9/2024,240
HWA02738,Andrew Allen,1,4,0,0,Single Room,7/13/2024,200
HWA02739,Robert Wilson,1,2,1,0,Single Room,10/14/2024,160
HWA02740,Jeffrey Hill,1,2,1,0,Single Room,6/24/2024,160
HWA02741,Aaron White,1,2,1,0,Single Room,12/13/2024,160
HWA02742,Susan Clark,1,1,1,0,Single Room,10/15/2024,80
HWA02743,Joseph Garcia,1,2,1,0,Single Room,6/2/2024,160
HWA02744,James Garcia,1,2,1,0,Single Room,6/15/2024,160
HWA02745,Judith Green,1,5,1,0,Family Room,9/20/2024,1150
HWA02746,Joshua Scott,1,3,0,0,Single Room,12/29/2024,150
HWA02747,Stephanie King,1,1,1,0,Single Room,4/6/2024,80
HWA02748,Andrew Martinez,1,2,1,0,Single Room,10/29/2024,160
HWA02749,Helen Lewis,1,3,0,0,Single Room,9/20/2023,150
HWA02750,Donna Allen,1,3,1,0,Single Room,9/29/2024,240
HWA02751,Anthony Perez,1,2,1,0,Single Room,4/1/2024,160
HWA02752,Helen Lopez,1,3,1,0,Single Room,5/10/2024,240
HWA02753,Rebecca Lee,1,1,1,0,Single Room,6/9/2024,80
HWA02754,Ashley Johnson,1,2,1,0,Single Room,9/26/2024,160
HWA02755,Jeffrey Rodriguez,1,1,1,0,Single Room,3/21/2024,80
HWA02756,Henry Clark,1,1,0,0,Single Room,12/17/2024,50
HWA02757,Timothy Walker,1,3,1,0,Single Room,6/27/2024,240
HWA02758,Henry Torres,3,3,1,0,Family Room,9/7/2023,690
HWA02759,Shirley Garcia,2,3,1,0,Deluxe Room,9/15/2024,540
HWA02760,Jessica Adams,1,2,1,0,Deluxe Room,12/16/2024,360
HWA02761,Christopher Young,1,2,1,0,Single Room,12/1/2024,160
HWA02762,Joan Thomas,1,2,0,0,Single Room,12/17/2023,100
HWA02763,Edward Hernandez,1,1,0,0,Single Room,4/4/2024,50
HWA02764,Rebecca Johnson,1,1,1,0,Single Room,11/14/2023,80
HWA02765,Rebecca Williams,1,2,1,1,Single Room,4/8/2024,160
HWA02766,Stephanie Harris,3,3,1,0,Deluxe Room,9/22/2024,540
HWA02767,Sarah Davis,1,5,0,0,Single Room,11/15/2024,250
HWA02768,Christopher Hernandez,1,4,1,0,Single Room,9/27/2024,320
HWA02769,Jason Williams,1,5,1,0,Single Room,10/6/2023,400
HWA02770,Emily Hill,1,2,1,0,Single Room,9/9/2024,160
HWA02771,Betty Taylor,1,2,1,0,Single Room,6/22/2024,160
HWA02772,James Miller,1,3,1,0,Single Room,1/2/2024,240
HWA02773,John Thomas,1,1,1,0,Single Room,7/3/2024,80
HWA02774,Helen Miller,1,5,0,0,Single Room,11/22/2024,250
HWA02775,Kathleen Scott,1,3,1,0,Single Room,10/22/2023,240
HWA02776,Deborah Wilson,1,1,1,0,Deluxe Room,5/13/2024,180
HWA02777,Jason King,1,2,1,0,Single Room,5/16/2024,160
HWA02778,Kevin Johnson,1,1,1,0,Single Room,10/17/2023,80
HWA02779,George Jones,2,3,1,0,Double Room,2/10/2024,390
HWA02780,Paul Lopez,1,1,1,0,Single Room,10/15/2024,80
HWA02781,Michelle Martinez,1,3,1,0,Single Room,5/21/2024,240
HWA02782,Lisa Johnson,1,4,1,0,Deluxe Room,5/25/2024,720
HWA02783,James Williams,3,1,1,0,Deluxe Room,10/9/2024,180
HWA02784,Jennifer Perez,3,3,1,0,Deluxe Room,9/2/2024,540
HWA02785,Helen Hall,3,3,1,0,Family Room,7/3/2024,690
HWA02786,John Miller,1,1,0,0,Single Room,10/2/2024,50
HWA02787,Sandra Hall,1,1,1,0,Single Room,10/23/2024,80
HWA02788,Donald Lewis,1,1,1,0,Single Room,9/2/2024,80
HWA02789,George Wright,1,1,1,0,Single Room,2/28/2024,80
HWA02790,Julie Torres,1,2,1,0,Single Room,11/18/2024,160
HWA02791,Daniel Flores,1,2,1,0,Single Room,4/19/2024,160
HWA02792,Amanda Martinez,1,4,0,0,Single Room,11/1/2024,200
HWA02793,Deborah Adams,1,3,1,0,Single Room,5/9/2024,240
HWA02794,Timothy Davis,1,5,0,0,Single Room,7/16/2024,250
HWA02795,Christopher Scott,1,2,1,0,Single Room,11/18/2024,160
HWA02796,Timothy Garcia,1,1,1,0,Single Room,5/4/2024,80
HWA02797,Christopher Wilson,1,3,1,0,Single Room,9/7/2023,240
HWA02798,Daniel Martinez,1,2,1,0,Single Room,8/18/2023,160
HWA02799,Ronald Hill,1,3,1,0,Single Room,11/10/2024,240
HWA02800,Jessica Lee,2,5,1,0,Deluxe Room,8/29/2024,900
HWA02801,John Hernandez,1,3,1,0,Single Room,10/6/2024,240
HWA02802,Raymond Wright,1,3,1,0,Single Room,7/18/2024,240
HWA02803,Christopher Jackson,3,3,1,0,Deluxe Room,10/13/2024,540
HWA02804,Mary Smith,1,2,1,0,Single Room,12/30/2024,160
HWA02805,Susan Lewis,1,5,0,0,Single Room,2/7/2024,250
HWA02806,Kevin Clark,1,2,0,0,Single Room,11/11/2024,100
HWA02807,Donald Thompson,1,1,1,0,Single Room,11/26/2024,80
HWA02808,Nancy Lewis,1,2,1,0,Single Room,9/15/2024,160
HWA02809,Helen Walker,2,2,1,0,Family Room,1/15/2024,460
HWA02810,Dorothy Jones,1,3,1,0,Single Room,8/29/2024,240
HWA02811,Deborah Clark,1,1,1,0,Single Room,8/5/2024,80
HWA02812,Jeffrey Lopez,1,2,1,0,Single Room,12/19/2024,160
HWA02813,Ronald Harris,1,1,1,0,Single Room,7/11/2023,80
HWA02814,Jerry Green,1,2,1,0,Deluxe Room,5/19/2024,360
HWA02815,Timothy Moore,3,2,1,0,Deluxe Room,3/20/2024,360
HWA02816,Elizabeth Johnson,1,2,1,0,Single Room,11/11/2024,160
HWA02817,Margaret Walker,1,2,0,0,Family Room,8/7/2023,400
HWA02818,James Young,2,2,0,0,Deluxe Room,9/16/2023,300
HWA02819,Aaron Wilson,1,4,1,0,Single Room,4/20/2024,320
HWA02820,Andrew Jackson,1,1,1,0,Deluxe Room,6/19/2024,180
HWA02821,Elizabeth Garcia,2,4,1,0,Double Room,7/12/2024,520
HWA02822,George Brown,1,1,1,0,Single Room,11/2/2023,80
HWA02823,Emily White,3,5,1,0,Deluxe Room,10/4/2024,900
HWA02824,Dorothy Rodriguez,1,2,1,0,Single Room,1/19/2024,160
